Date,Open,High,Low,Close,Adj Close,Volume
25/06/2019,11.7,11.8,11.6,11.65,11.65,2.499.830
24/06/2019,11.5,11.7,11.5,11.7,11.7,3.159.730
21/06/2019,11.6,11.6,11.4,11.45,11.45,15.220.810
20/06/2019,11.3,11.55,11.3,11.5,11.5,3.534.170
19/06/2019,11.35,11.4,11.25,11.3,11.3,1.284.560
18/06/2019,11.45,11.5,11.2,11.2,11.2,3.530.280
17/06/2019,11.65,11.7,11.45,11.45,11.45,3.955.290
14/06/2019,11.65,11.75,11.6,11.65,11.65,1.135.670
13/06/2019,11.65,11.7,11.6,11.6,11.6,1.308.500
12/6/2019,11.7,11.8,11.65,11.65,11.65,787.161
11/6/2019,11.85,11.85,11.7,11.7,11.7,1.201.010
10/6/2019,11.75,11.85,11.75,11.8,11.8,3.130.830
7/6/2019,11.6,11.75,11.6,11.75,11.75,1.429.480
6/6/2019,11.65,11.7,11.55,11.55,11.55,1.900.010
5/6/2019,11.7,11.8,11.65,11.65,11.65,2.401.360
4/6/2019,11.65,11.7,11.55,11.6,11.6,2.440.450
3/6/2019,11.7,11.75,11.5,11.6,11.6,3.847.140
31/05/2019,11.75,11.9,11.7,11.75,11.75,2.128.870
30/05/2019,11.75,11.9,11.7,11.8,11.8,2.100.560
29/05/2019,11.85,11.85,11.75,11.75,11.75,1.765.170
28/05/2019,11.85,11.95,11.75,11.8,11.8,2.307.740
27/05/2019,11.8,11.9,11.75,11.8,11.8,1.256.990
24/05/2019,11.9,11.95,11.75,11.8,11.8,6.040.540
23/05/2019,12.05,12.15,11.95,12,12,1.873.810
22/05/2019,12.15,12.2,12,12.05,12.05,4.453.110
21/05/2019,12,12.2,11.95,12.05,12.05,5.450.380
20/05/2019,12,12.05,11.9,11.95,11.95,2.869.040
17/05/2019,11.95,12.05,11.95,11.95,11.95,1.816.710
16/05/2019,12.15,12.15,11.95,12,12,1.844.380
15/05/2019,12,12.15,11.95,12.05,12.05,3.044.590
14/05/2019,11.85,11.95,11.8,11.9,11.9,2.992.760
13/05/2019,11.95,12.05,11.85,11.95,11.95,1.962.990
10/5/2019,12,12.05,11.9,12,12,1.969.450
9/5/2019,12.15,12.2,11.85,11.9,11.9,6.642.650
8/5/2019,11.95,12.25,11.95,12.15,12.15,4.254.250
7/5/2019,12.15,12.2,12.05,12.1,12.1,4.092.060
